# energy,localization
1.752613360087726946e+00,-9.119543704721593258e-01
1.752613360087727168e+00,-9.119543704721593258e-01
1.809654104932038710e+00,-9.119543704721593258e-01
1.809654104932038932e+00,-9.119543704721591038e-01
1.859552971776502250e+00,-9.119543704721593258e-01
1.859552971776502472e+00,-9.119543704721591038e-01
1.902113032590306840e+00,-9.119543704721593258e-01
1.902113032590307062e+00,-9.119543704721591038e-01
1.937166322257261930e+00,-9.119543704721593258e-01
1.937166322257262152e+00,-9.119543704721595478e-01
1.964574501457376998e+00,-9.119543704721595478e-01
1.964574501457377220e+00,-9.119543704721589927e-01
1.984229402628955530e+00,-9.119543704721595478e-01
1.984229402628955530e+00,-9.119543704721593258e-01
1.996053456856542896e+00,-9.119543704721589927e-01
1.996053456856543118e+00,-9.119543704721564392e-01
1.999999999999999778e+00,-1.000000000000000000e+00
-2.000655046890141620e+00,-9.883165469620948107e-01
-1.997015960013023061e+00,-9.117451647897120148e-01
-1.996242841007227042e+00,-9.189000786389411868e-01
-1.985202846154596967e+00,-9.117430012378011650e-01
-1.984382037040365088e+00,-9.136619594147475931e-01
-1.965566553110438708e+00,-9.117394777991792987e-01
-1.964725118065291820e+00,-9.126134461097779038e-01
-1.938185243373800493e+00,-9.117345028392650486e-01
-1.937324020465405638e+00,-9.122403436235559937e-01
-1.903167985269670348e+00,-9.117284159060411453e-01
-1.902283188295447180e+00,-9.120630179797459824e-01
-1.860654414511289989e+00,-9.117542654459048768e-01
-1.859740384723094220e+00,-9.119914899046090984e-01
-1.810814433993371830e+00,-9.117342758441292494e-01
-1.809863770231660007e+00,-9.119149930824831385e-01
-1.753846910651752911e+00,-9.117683755735619400e-01
-1.752851766486476670e+00,-9.118975820905718122e-01
-1.689981227438562161e+00,-9.120354247173000362e-01
-1.688930188952477263e+00,-9.120676113502513838e-01
-1.619474411979664241e+00,-9.109117064287437504e-01
-1.618354287770041200e+00,-9.112280803246296523e-01
-1.542612421498290365e+00,-9.112301025368997331e-01
-1.541407544149041131e+00,-9.114175086322825470e-01
-1.459873345929110666e+00,-9.110550320243756550e-01
-1.458231350282739758e+00,-9.115985985177434969e-01
-1.371152663032258134e+00,-9.111015303315953551e-01
-1.369615981610247335e+00,-9.113101080034704538e-01
-1.277261334725066977e+00,-9.108962715852100267e-01
-1.275509897428648509e+00,-9.111049389387884112e-01
-1.178518657699390904e+00,-9.105720610865101206e-01
-1.176431298065230724e+00,-9.108332086720907217e-01
-1.075480235792138251e+00,-9.095952148784197666e-01
-1.072837007744912086e+00,-9.097898801937381874e-01
-9.690350405978812587e-01,-9.077076992446345693e-01
-9.653213566054499317e-01,-9.078835004145529020e-01
-8.617119788306710770e-01,-9.004436632707047972e-01
-8.552149643591947514e-01,-8.990082770952053659e-01
-7.753587695988262141e-01,-9.018591314725946662e-01
-6.982458664070705368e-01,-9.058294426707641511e-01
-6.150058839517132947e-01,-8.996285613104415546e-01
-6.077396347479552263e-01,-9.030781355991238657e-01
-4.958990652461692794e-01,-9.094715902157817222e-01
-4.923800638618758829e-01,-9.101743551979388780e-01
-3.739237944183364526e-01,-9.110830820463896584e-01
-3.716253948435211396e-01,-9.115704911974097380e-01
-2.502374845384275903e-01,-9.115685230373946624e-01
-2.484923739609085636e-01,-9.120852539888237853e-01
-1.255029330437210655e-01,-9.117007666069876226e-01
-1.240109320596887027e-01,-9.125590335337071535e-01
-2.925313731468298498e-04,-8.505531699341485341e-01
1.139053632273087082e-03,-8.506427079931445645e-01
1.248334704806737944e-01,-9.121268787001567402e-01
1.263732136447106857e-01,-9.112569312162926982e-01
2.492890158405383083e-01,-9.119248384039843058e-01
2.511329772673372429e-01,-9.113910866049251824e-01
3.723905379243763747e-01,-9.115049680168217927e-01
3.748489777368553821e-01,-9.109997687224654639e-01
4.930916679685924398e-01,-9.101576184511956935e-01
4.968731546091346707e-01,-9.094291212982275052e-01
6.083016251971224975e-01,-9.030912839884345233e-01
6.161229056668962034e-01,-8.993384078968106321e-01
6.995685785421754677e-01,-9.041037927050146195e-01
7.759103475203679157e-01,-9.012065309690823200e-01
8.558441399026892604e-01,-8.990985721324232793e-01
8.626880744529958900e-01,-9.006814446441407940e-01
9.660597834825025432e-01,-9.079685240098067656e-01
9.699668016262310566e-01,-9.078202486188510223e-01
1.073615059998963561e+00,-9.100016474452269355e-01
1.076385118786696848e+00,-9.097878597719946114e-01
1.177230715599513200e+00,-9.105990693669657743e-01
1.179406736701475555e+00,-9.104774976762125549e-01
1.276324552663037570e+00,-9.110561593956605364e-01
1.278136361825733758e+00,-9.109297245653994457e-01
1.370447868959488558e+00,-9.113054618615191727e-01
1.372011716073078924e+00,-9.111917960384738890e-01
1.459155249731186377e+00,-9.115421890306506514e-01
1.460634929688743977e+00,-9.112089515902127568e-01
1.542196176151556353e+00,-9.116259288075710954e-01
1.543513639734420684e+00,-9.114939617502819669e-01
1.619162780799713097e+00,-9.120574509419631104e-01
1.620357138928638863e+00,-9.120690231026752359e-01
1.689745729995023371e+00,-9.111515137902111983e-01
1.690857262793162397e+00,-9.108784605033746207e-01
1.753671202342963031e+00,-9.114680727017177020e-01
1.754719143891518396e+00,-9.112399323339825941e-01
1.810685284117878657e+00,-9.115595817924755373e-01
1.811684476138658795e+00,-9.113105266945957794e-01
1.860563431543618140e+00,-9.116351536643046982e-01
1.861522643645392217e+00,-9.113428875582575417e-01
1.903106778303229385e+00,-9.116288844064592833e-01
1.904035054617531753e+00,-9.112415906929086651e-01
1.938147038705068992e+00,-9.116515255675170515e-01
1.939051650429733487e+00,-9.110860217622300805e-01
1.965545466650052031e+00,-9.116660531756869412e-01
1.966432925943098153e+00,-9.107038159068078231e-01
1.985193598162940720e+00,-9.116757060153785064e-01
1.986070672219415245e+00,-9.095260304062843248e-01
1.997013666165571522e+00,-9.116811619037220593e-01
1.997895194382889983e+00,-9.015532018525462821e-01
2.001600729843806104e+00,-9.627265891492581273e-01
-2.003368710324982871e+00,-9.727641463466264460e-01
-1.999901034155570523e+00,-9.110530495520331451e-01
-1.998521024304509064e+00,-9.236713901813006222e-01
-1.988113792587179463e+00,-9.110411055479217257e-01
-1.986561012644586288e+00,-9.147743637905307867e-01
-1.968521498963587968e+00,-9.110209658619010664e-01
-1.966903382556639546e+00,-9.127093354348335685e-01
-1.941203712212082655e+00,-9.109907326086045254e-01
-1.939537361283493633e+00,-9.119479833090083920e-01
-1.906271611161898250e+00,-9.109506237268849560e-01
-1.904555195266743217e+00,-9.115645666212579545e-01
-1.863867922918087228e+00,-9.110175821787511730e-01
-1.862093029210864614e+00,-9.114142741320001573e-01
-1.814167957551573451e+00,-9.108865394277823047e-01
-1.812319644710800981e+00,-9.111812841176075706e-01
-1.757372702074511350e+00,-9.108976423557491042e-01
-1.755441386545085525e+00,-9.110483390888727273e-01
-1.693724293391604130e+00,-9.113688728992961341e-01
-1.691687336277986509e+00,-9.111581419607089893e-01
-1.623492065850475452e+00,-9.089246291686380319e-01
-1.621324147506408409e+00,-9.098825353707207242e-01
-1.546999383410537554e+00,-9.093263665777012728e-01
-1.544644092469722230e+00,-9.098448095347919651e-01
-1.465346450378239185e+00,-9.080348673649840663e-01
-1.461124508605304184e+00,-9.103877680092796743e-01
-1.376605270865839170e+00,-9.087779728447300531e-01
-1.373546597644347500e+00,-9.093213822544953251e-01
-1.283527500877778671e+00,-9.079734349966389617e-01
-1.280107592901787328e+00,-9.084475691151402410e-01
-1.186007396200421171e+00,-9.066266545283990785e-01
-1.181975065096269040e+00,-9.072166497801742446e-01
-1.084945657627367499e+00,-9.034836362702347579e-01
-1.079908353903019647e+00,-9.035870099293138447e-01
-9.821834834151067506e-01,-8.972459584633081242e-01
-9.753126654610828616e-01,-8.966690376939749907e-01
-8.835620485940763880e-01,-8.801089541166918773e-01
-8.728769140799241821e-01,-8.719307332592363124e-01
-8.164294703038496026e-01,-8.875873998967261924e-01
-6.618219860685725653e-01,-8.759289833201722164e-01
-6.000165112258325495e-01,-8.742110058207432921e-01
-5.882670464974784075e-01,-8.877077837044136110e-01
-4.887905746794990458e-01,-9.033196809248255077e-01
-4.823702180951302543e-01,-9.052855595416188228e-01
-3.699182558202907534e-01,-9.089840830816774409e-01
-3.655927428716436722e-01,-9.100137640274316153e-01
-2.480180262296593496e-01,-9.107768356970026291e-01
-2.446755734189981213e-01,-9.117713212186117078e-01
-1.246043676924941807e-01,-9.113721767321625311e-01
-1.216909807535008076e-01,-9.129750498990949481e-01
-5.770908920467519420e-04,-8.536656164042232264e-01
2.265642799759146932e-03,-8.540060026373550439e-01
1.232872970986222116e-01,-9.121820294293634390e-01
1.263828137968497911e-01,-9.105094088874932101e-01
2.461652507906244569e-01,-9.114804544266981168e-01
2.498987801834005040e-01,-9.104197324889683474e-01
3.669600998033983319e-01,-9.098961626929269464e-01
3.719065682310356835e-01,-9.087716102541432139e-01
4.835381466704870568e-01,-9.052943172667194949e-01
4.909387575923047087e-01,-9.030817143926347379e-01
5.889855273892992127e-01,-8.879622770028208212e-01
6.024443164762650627e-01,-8.711596232316461963e-01
6.658862301877672696e-01,-8.600660970389291116e-01
8.171708463751801155e-01,-8.846358894173758092e-01
8.737238053552086603e-01,-8.719121457395434538e-01
8.855225719885456703e-01,-8.812345734160670352e-01
9.765567904721228487e-01,-8.968241531189947713e-01
9.841434124898446045e-01,-8.976287576574688565e-01
1.081313830635834750e+00,-9.039988269642537100e-01
1.086838479077352648e+00,-9.038665894467062811e-01
1.183469032672480159e+00,-9.066568011700844032e-01
1.187846936445877244e+00,-9.065959457066345983e-01
1.281664559897186528e+00,-9.082830415284655068e-01
1.285321062156585148e+00,-9.081252411531227642e-01
1.375173531676982197e+00,-9.092210245076902675e-01
1.378338220998029051e+00,-9.090413128227026185e-01
1.462984447927188736e+00,-9.100017187028378585e-01
1.466808166299863769e+00,-9.080089095506067576e-01
1.546108634444187224e+00,-9.101676618218750292e-01
1.548885891975652296e+00,-9.098957574997385001e-01
1.622860970786461854e+00,-9.111895141642137874e-01
1.625317937244425304e+00,-9.115100034791933092e-01
1.693251816915865682e+00,-9.096255581577068483e-01
1.695525504583993426e+00,-9.089079572867272416e-01
1.757021802817526623e+00,-9.103042187094703142e-01
1.759158769183625681e+00,-9.097768446199445691e-01
1.813904806206759313e+00,-9.105636196834748786e-01
1.815947894126469064e+00,-9.099927950903645701e-01
1.863685366818734757e+00,-9.108225317916762709e-01
